date;Germany;India;US;Brazil;United Kingdom
2020-01-22;0;0;1;0;0
2020-01-23;0;0;1;0;0
2020-01-24;0;0;2;0;0
2020-01-25;0;0;2;0;0
2020-01-26;0;0;5;0;0
2020-01-27;1;0;5;0;0
2020-01-28;4;0;5;0;0
2020-01-29;4;0;5;0;0
2020-01-30;4;1;5;0;0
2020-01-31;5;1;7;0;2
2020-02-01;8;1;8;0;2
2020-02-02;10;2;8;0;2
2020-02-03;12;3;11;0;8
2020-02-04;12;3;11;0;8
2020-02-05;12;3;11;0;9
2020-02-06;12;3;11;0;9
2020-02-07;13;3;11;0;9
2020-02-08;13;3;11;0;13
2020-02-09;14;3;11;0;14
2020-02-10;14;3;11;0;14
2020-02-11;16;3;12;0;15
2020-02-12;16;3;12;0;16
2020-02-13;16;3;13;0;17
2020-02-14;16;3;13;0;18
2020-02-15;16;3;13;0;18
2020-02-16;16;3;13;0;18
2020-02-17;16;3;13;0;19
2020-02-18;16;3;13;0;19
2020-02-19;16;3;13;0;20
2020-02-20;16;3;13;0;22
2020-02-21;16;3;15;0;23
2020-02-22;16;3;15;0;23
2020-02-23;16;3;15;0;28
2020-02-24;16;3;15;0;30
2020-02-25;17;3;15;0;34
2020-02-26;27;3;15;1;37
2020-02-27;46;3;16;1;44
2020-02-28;48;3;16;1;56
2020-02-29;79;3;24;2;61
2020-03-01;130;3;30;2;94
2020-03-02;159;5;53;2;134
2020-03-03;196;5;73;2;189
2020-03-04;262;28;104;4;246
2020-03-05;482;30;174;4;295
2020-03-06;670;31;222;13;374
2020-03-07;799;34;337;13;429
2020-03-08;1040;39;451;20;483
2020-03-09;1176;43;519;25;630
2020-03-10;1457;56;711;31;889
2020-03-11;1908;62;1109;38;1301
2020-03-12;2078;73;1561;52;1790
2020-03-13;3675;82;2157;151;2270
2020-03-14;4585;102;2870;151;2634
2020-03-15;5795;113;2968;162;3077
2020-03-16;7272;119;4360;200;3692
2020-03-17;9257;142;6141;321;4462
2020-03-18;12327;156;8917;372;5467
2020-03-19;15320;194;14157;621;6533
2020-03-20;19848;244;19479;793;7791
2020-03-21;22213;330;25825;1021;9006
2020-03-22;24873;396;33761;1546;10395
2020-03-23;29056;499;43850;1924;12744
2020-03-24;32986;536;54112;2247;15126
2020-03-25;37323;657;66055;2554;17843
2020-03-26;43938;727;84091;2985;20970
2020-03-27;50871;887;102276;3417;24219
2020-03-28;57695;987;122069;3904;27062
2020-03-29;62095;1024;141205;4256;29954
2020-03-30;66885;1251;162707;4579;34281
2020-03-31;71808;1397;188724;5717;38815
2020-04-01;77872;1998;214205;6836;43789
2020-04-02;84794;2543;244610;8044;48718
2020-04-03;91159;2567;276547;9056;53699
2020-04-04;96092;3082;309699;10360;57772
2020-04-05;100123;3588;337573;11130;61422
2020-04-06;103374;4778;367215;12161;66738
2020-04-07;107663;5311;397992;14034;72224
2020-04-08;113296;5916;429686;16170;77387
2020-04-09;118181;6725;464442;18092;82293
2020-04-10;122171;7598;497943;19638;86660
2020-04-11;124908;8446;527969;20727;90273
2020-04-12;127854;9205;556522;22192;93812
2020-04-13;130072;10453;581813;23430;98017
2020-04-14;131359;11487;608878;25262;102365
2020-04-15;134753;12322;637974;28320;107465
2020-04-16;137698;13430;669272;30425;112808
2020-04-17;141397;14352;701996;33682;117798
2020-04-18;143342;15722;730337;36658;122534
2020-04-19;145184;17615;756375;38654;126394
2020-04-20;147065;18539;783716;40743;131260
2020-04-21;148291;20080;809318;43079;136035
2020-04-22;150648;21370;837422;45757;141540
2020-04-23;153129;23077;871617;50036;146708
2020-04-24;154999;24530;907908;54043;151689
2020-04-25;156513;26283;940829;59324;155453
2020-04-26;157770;27890;968518;63100;158926
2020-04-27;158758;29451;990983;67446;163630
2020-04-28;159912;31324;1015518;73235;168357
2020-04-29;161539;33062;1043038;79685;173807
2020-04-30;163009;34863;1072667;87187;178771
2020-05-01;164077;37257;1106829;92202;183501
2020-05-02;164967;39699;1136024;97100;186731
2020-05-03;165664;42505;1161611;101826;189708
2020-05-04;166152;46437;1184086;108620;193091
2020-05-05;167007;49400;1208271;115455;196780
2020-05-06;168162;52987;1233527;126611;200616
2020-05-07;169430;56351;1261409;135773;204387
2020-05-08;170588;59695;1288587;146894;207439
2020-05-09;171324;62808;1314320;156061;209589
2020-05-10;171879;67161;1334084;162699;211911
2020-05-11;172576;70768;1352962;169594;215500
2020-05-12;173171;74292;1375152;178214;218895
2020-05-13;174098;78055;1396110;190137;222195
2020-05-14;174478;81997;1423727;203165;224813
2020-05-15;175233;85784;1449027;220291;227334
2020-05-16;175752;90648;1474128;233511;229406
2020-05-17;176369;95698;1493132;241080;231232
2020-05-18;176551;100328;1514901;255368;233809
2020-05-19;177778;106475;1535350;271885;236867
2020-05-20;178473;112028;1559157;291579;239579
2020-05-21;179021;118226;1584512;310087;242133
2020-05-22;179710;124794;1608653;330890;244174
2020-05-23;179986;131423;1630476;347398;245682
2020-05-24;180328;138536;1651289;363211;247037
2020-05-25;180600;144950;1670280;374898;248650
2020-05-26;181200;150793;1689163;391222;250309
2020-05-27;181524;158086;1707445;411821;252118
2020-05-28;182196;165386;1730260;438238;253854
2020-05-29;182922;173491;1754764;465166;255362
2020-05-30;183189;181827;1779214;498440;256469
2020-05-31;183410;190609;1799124;514849;257539
2020-06-01;183594;198370;1816479;526447;258983
2020-06-02;183879;207191;1837374;555383;260453
2020-06-03;184121;216824;1857332;584016;261802
2020-06-04;184472;226713;1878683;614941;263040
2020-06-05;184924;236184;1903907;645771;264150
2020-06-06;185450;246622;1926639;672846;264944
2020-06-07;185750;257486;1944370;691758;265662
2020-06-08;186109;265928;1961785;707412;266756
2020-06-09;186506;276146;1979912;739503;267915
2020-06-10;186522;286605;2000706;772416;269101
2020-06-11;186691;297535;2023656;802828;270108
2020-06-12;187226;308993;2048986;828810;271162
2020-06-13;187267;320922;2074542;850514;272050
2020-06-14;187518;332424;2094366;867624;272857
2020-06-15;187682;343091;2114026;888271;273888
2020-06-16;188252;354065;2137731;923189;274971
2020-06-17;188604;366946;2163290;955377;275970
2020-06-18;189817;380532;2191099;978142;276990
2020-06-19;190299;395048;2222579;1032913;277974
2020-06-20;190670;410451;2255328;1067579;278640
2020-06-21;191272;425282;2281767;1083341;279264
2020-06-22;191768;440215;2312303;1106470;280156
2020-06-23;192480;456183;2347491;1145906;281038
2020-06-24;192871;473105;2382426;1188631;281815
2020-06-25;193371;490401;2422299;1228114;282512
2020-06-26;194036;508953;2467554;1274974;283151
2020-06-27;194458;528859;2510259;1313667;283785
2020-06-28;194693;548318;2549864;1344143;284192
2020-06-29;195042;566840;2590668;1368195;284812
2020-06-30;195418;585481;2636414;1402041;285216
2020-07-01;195893;604641;2687588;1448753;285279
2020-07-02;196370;625544;2742049;1496858;285285
2020-07-03;196780;648315;2795361;1539081;285787
2020-07-04;197198;673165;2841241;1577004;286412
2020-07-05;197523;697413;2891124;1603055;286931
2020-07-06;198064;719664;2936077;1623284;287290
2020-07-07;198343;742417;2996098;1668589;287874
2020-07-08;198699;767296;3054699;1713160;288511
2020-07-09;199001;793802;3117946;1755779;289154
2020-07-10;199332;820916;3185737;1800827;289678
2020-07-11;199709;849522;3245925;1839850;290504
2020-07-12;199919;878254;3304942;1864681;291154
2020-07-13;200180;906752;3364157;1884967;291691
2020-07-14;200456;936181;3431574;1926824;292931
2020-07-15;200890;968857;3498902;1966748;293469
2020-07-16;201450;1003832;3576157;2012151;294116
2020-07-17;202045;1039084;3647715;2046328;294803
2020-07-18;202426;1077781;3711413;2074860;295632
2020-07-19;202735;1118206;3773260;2098389;296358
2020-07-20;203325;1155338;3834677;2118646;296944
2020-07-21;203717;1193078;3899211;2159654;297389
2020-07-22;204276;1238798;3970121;2227514;297952
2020-07-23;204881;1288108;4038816;2287475;298731
2020-07-24;205623;1337024;4112531;2343366;299500
2020-07-25;206278;1385635;4178970;2394513;300270
2020-07-26;206667;1435616;4233923;2419091;301020
2020-07-27;207112;1480073;4290337;2442375;301708
2020-07-28;207707;1531669;4356206;2483191;302261
2020-07-29;208546;1581963;4426982;2552265;303063
2020-07-30;209535;1634746;4495015;2610102;303910
2020-07-31;210399;1695988;4562107;2662485;304793
2020-08-01;211005;1750723;4620592;2707877;305562
2020-08-02;211220;1803695;4668172;2733677;306309
2020-08-03;212111;1855745;4713540;2750318;307251
2020-08-04;212828;1908254;4771080;2801921;307926
2020-08-05;214113;1964536;4823890;2859073;308832
2020-08-06;215039;2027074;4883582;2912212;309796
2020-08-07;216196;2088611;4941755;2962442;310696
2020-08-08;216903;2153010;4997929;3012412;311461
2020-08-09;217288;2215074;5044864;3035422;312574
2020-08-10;218508;2268675;5094400;3057470;313392
2020-08-11;219540;2329638;5141208;3109630;314542
2020-08-12;220859;2396637;5197411;3164785;315581
2020-08-13;222281;2461190;5248854;3224876;315600
